Covidence,Study.ID,design,alpha,power,effect_size_type,effect_size_value,software,rep_w_info_provided,eta_sqaured_setting,conditionally_reproducible,conditions_assumed,appropriate_software,hypothesis_quote,matches_primary_hypotheses,matches_design,repro_software,notes
1201,Cociƒá 2021,unknown  ,unknown,80,pn2,0.4,not_reported,no,not_reproducible,no,not_app,not_app,"Based on the previous studies (Farrow et al., 2005;
Maxeiner, 1988; Maxeiner et al., 1996), we expect no significant difference between the expert and novice goalkeepers in the first occlusion point and performance around chance level, due to the fact that at this time
point there is no relevant information. The second occlusion point was the crucial one because it contained the most relevant information for expert goalkeeper anticipation (Loffing & Hagemann, 2014). We expect clearly
above chance performance in experts while novicesí performance should be around chance. The final occlusion point provides more information, but given that this information is not crucial for experts, we do not expect a large increase in expertsí performance from the second occlusion window. In contrast, this information may help novices to finally reach performance above chance level. We expect the same pattern of results with the reaction time. ",unknown,unknown,not_app,"What a mess! Even using the lowest effect size reported (np2=), I was not able to replicate the power calculation. I do not think they did a priori power calculation."
1200,Roman 2021,unknown  ,.05_tails_not_reported,80,unknown,0.8,gpower,no,notapp,no,not_app,not_app,Non-natives were hypothesized to self-report greater pain intensity and have higher composite scores (i.e. less favorable) than natives. It was also hypothesized that pain intensity would be associated with the modified SI score and its respective biomechanical tasks.,unknown,unknown,not_app,
1180,Bartonek 2021,unknown  ,.05_tails_not_reported,,unknown,not_app,gpower,no,notapp,no,not_app,not_app,"Considering that, we hypothesized that children with CP would have a poorer topographic working memory than typical developing children (TD) due to the lack of motor experience. Based on findings during studying turning gait (Bartonek et al., 2018) we also hypothesized that children with CP functioning at a low mobility level would show increasingly more difficulties in navigation tasks than children with independent locomotion in the community.",unknown,unknown,not_app,
1173,Norouzi 2021,mixed_anova,.05_tails_not_reported,80,f,0.25,gpower,no,notapp,no,not_app,no,"First, following others (Gallicchio et al., 2016; Janelle et al., 2000; Mirifar et al., 2017; Wilson et al., 2006; Zhu et al., 2011), we expected that, compared to a mock neurofeedback condition, quiet mind training (QMT) would have a more positive impact on the acquisition of dart throwing skills. Second, we expected that, compared to a mock neurofeedback condition, QMT would result in suppressed alpha power. Third, again following others
(Beckmann et al., 2013; Lam et al., 2009; Masters, 1992), we expected that skill in dart throwing acquired under QMT conditions would not be adversely affected in a pressure situation.",yes,yes,gpower,"I was not able to replicate the exact sample size number. Using ANOVA: repeated measures, within-factors/within-between factors and the parameters they provided, I get 24 (they report 28). Also, it is not clear if they used the within-factors or within-between interaction design. Based on their hypotheses and statistical analysis, it makes more sense to have used within-between interaction. i assumed they used a mixed anova."
1158,RighettoGreco 2020,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"It is expected that higher segmental trunk control is associated with better gross motor performance, especially in sitting posture. It means that less support on the trunk observed through higher SATCo scores will reflect in better performance of gross motor skills, such as independent sitting even if for a brief period.",unknown,unknown,not_app,
1154,Jeong 2020,unknown  ,.05_tails_not_reported,95,unknown,0.8,gpower,no,notapp,no,not_app,not_app," It was hypothesized that muscle strength-trained females would demonstrate a decreased peak anterior tibial shear force, as well as an increased knee flexion angle and decreased valgus moment, tibial internal rotation moment, both at initial contact and at peak anterior tibial shear force when compared with females at baseline during side-step cutting. Also, it was hypothesized that the hamstring to quadriceps muscle activation ratio would increase in strength-trained females by increasing both medial and lateral hamstring activation.",unknown,unknown,not_app,
1117,Whittier 2020,unknown  ,.05_tails_not_reported,80,d,0.6,not_reported,no,notapp,no,not_app,not_app," We hypothesized that during initially learning new gait (increasing
SR 5ñ10%) an increase in theta, beta, and lower gamma
amplitudes over the prefrontal areas with a corresponding
decrease following six weeks of training. Further, we
hypothesized SR increase would lead to an acute
increase in cognitive effort as indicated by changes in
EEG spectral power: beta and mu spectral power decrease and an increase in theta and lower gamma spectral power in the primary motor cortex. Due to Seeber and colleaguesí findings in the lower gamma band over the primary motor cortices, we lastly hypothesized that
as runners increased their SR, gamma amplitude would show similar responses and initially increase during early skill acquisition then decrease after training.",unknown,unknown,not_app,
1111,Bustillo-Casero 2020,unknown  ,.05_tails_not_reported,95,unknown,1.25,gpower,no,notapp,no,not_app,not_app,This randomised control trial aimed to compare the effect of easy and hard dual-task practice versus singletask practice for increasing postural task performance in adolescents.,unknown,unknown,not_app,There was only a power calculation for Experiment 1.
1110,Souto 2020,two_independent,.05_tails_not_reported,80,unknown,,gpower,no,notapp,no,not_app,yes,We hypothesized that frequent tablet use is associated with a beneficial effect on fine motor skills. ,yes,no,not_app,"I was not able to replicate the power calculation because they did not provide the effect size. If we assume they used d=0.8, two tails, independent t-test, then we get 52."
1109,Schaefer 2020,mixed_anova,.05_tails_not_reported,96,f,0.3,gpower,yes,notapp,not_app,not_app,yes,"we also predict that table tennis performances of novices will suffer more from dual-tasking than the performances of experts; We predict that the more difficult task combination will lead to
more pronounced increases in dual-task costs in novices
when compared to experts",yes,no,gpower,
1098,Ochi 2020,multiple_regression,.05_tails_not_reported,80,f2,0.35,gpower,no,notapp,yes,R-squared change - one tested predictor,yes,"We hypothesized that early RTD will be a better
predictor of maximum recoverable lean angle than late
RTD or maximum isometric torque of the lower limbs.",no,yes,gpower,repeated measures violates independence assumption of multiple regression
1079,Hegarty 2019,unknown  ,.05_tails_not_reported,80,unknown,1,not_reported,no,notapp,yes,"dependent t-test, one tail, effect size d.",not_app,"1. walking speed, measured with the 10-m walk test,
would increase; and walking endurance, measured
with the 6-min walk test, would also increase.
2. lower-limb isometric strength targeted with the
strength training program, including the ankle
plantarflexors, knee extensors, hip flexors, and hip
extensors, would increase. 1. lower-limb muscles targeted with the strength
training program would increase their average
muscle force production during stance in the
walking simulations;
2. these muscles would also increase their
contributions to body propulsion/braking (anterior/
posterior acceleration of the body center of mass)
and support (vertical acceleration of the body center
of mass) in the walking simulations, consistent with
greater muscle force production.",match_one,yes,gpower,I chose match_one for the hypothesis because they used walking speed effect size for the power calculation although they have predictions for other variables as well. They even use different statistical analyses for walking speed and the other variables.
1067,VenturadeOliveira 2019,unknown  ,.05_tails_not_reported,90,pn2,0.12,gpower,no,default,yes,"ANOVA:repeated measures, within-between interaction, pn2 = default, 2 groups, 2 measures, corr = 0.5, nonesphericity = 1.",yes,"Here, we tested the hypothesis that cathodal stimulation of
the left PPC creates accentuated proprioceptive drift in visual
deprivation. Despite the fact that some studies of drift have
found no alteration in movement amplitude when aiming is
performed without vision (Brown et al., 2003; Patterson,
Brown, Wagstaff, & Sainburg, 2017), we expect that PPC
stimulation in combination with blindfolded aiming will
affect movement distance. Based on TMS studies that investigated the role of the PPC in motor control (Della-Maggiore
et al., 2004; Desmurget et al., 1999), we also expect that
stimulation of the PPC associated with the absence of vision
will affect both movement planning and online corrections.",unknown,unknown,gpower,"They reported p > 0.05 so I accepted that as being alpha. Even though they provide F(1,8) = 1.15 Ö, which indicates an ANOVA test was used, it is hard to determine which one, hence my decision to go with unknown design. If we decide to be generous, then it matches at least of the hypothesis and matches the design."
1058,Yamamoto 2019 Exp1,unknown  ,.05_tails_not_reported,80,f,0.25,gpower,no,notapp,yes,"repeated measures anova, 3 time points, .5 correlation",yes,"The purpose of this study was to investigate whether
these cognitive biases arise in amateur tennis players, irrespective of their experience level, for the prior and posterior
estimation of the two-dimensional variance of forehand
strokes in tennis",unknown,yes,gpower,"three analyses reported, power analysis matches one of the three"
1053,Marco-Ahull√≥ 2019,unknown  ,.05_tails_not_reported,95,d,1.33,gpower,no,notapp,no,not_app,yes,"Our hypothesis was that a 100% feedback
frequency would better suit this population than the reduced
frequency for learning of the balance task.",unknown,unkown,gpower,cannot figure out what they ran for a power analysis
2104,Marcori 2020,,,,,,,,,,,,,,,,"We already extracted data from this one. Even though they have two experiments, the same participants were used in experiment 2."
1058,Yamamoto 2019 Exp2,two_dependent,.05_tails_not_reported,80,d,0.8,gpower,no,notapp,no,not_app,yes,"Therefore, the purpose of Experiment 2 was to test whether the isotropy bias
disappears when participants estimate 95% confidence
intervals of ellipses for dots randomly sampled from a
Gaussian distribution displayed on a computer screen.",yes,yes,gpower,"I was generous to assume they used a dependent t-test. However, even make this assumption, the number a got for a dependent t-test, two tails, was 15. They authors report 14."
