Covidence,Study.ID,design,alpha,power,effect_size_type,effect_size_value,software,rep_w_info_provided,eta_squared_setting,conditionally_reproducible,conditions_assumed,appropriate_software,hypothesis_quote,matches_primary_hypotheses,matches_design,repro_software,notes
2128,Haines 2020,ws_anova,.05_tails_not_reported,80,unknown,0.25,gpower,no,notapp,yes,"effect_sive_f, 1 group, six_within_subjects_conditions, .5 correlation among conditions",yes,"Specifically, we aimed to determine whether the influence of attentional foci would differ between restricted (braced) and unrestricted (non-braced) conditions. Based on previous findings (MasonMackay et al., 2016a; Mason-Mackay et al., 2017), we hypothesized that bracing would reduce ankle dorsiflexion and knee flexion, but increase knee valgus, knee extension and valgus moments, and vertical ground reaction forces. Next, we hypothesized that EF instruction would be an effective strategy to improve landing biomechanics, even when braced.",no,no,gpower,cannot calculate power for factorial within subjects anova in g*power
2127,Boroomand-Tehrani 2020,two_dependent,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"We hypothesized that perceived threat, due specifically to a loss of balance, in a VE would result in improved motor performance in a balance beam task",yes,no,not_app,mean difference and standard deviation provided but could not be used to reproduce PA
2120,SchollSchell 2020,unknown  ,.05_tails_not_reported,80,unknown,0.42,gpower,no,notapp,no,not_app,not_app,"we hypothesized that EF would be superior to IF. Besides, we expected that having an IF delivered together with EF would limit the results of motor learning and retention during craniocervical flexion test.",unknown,unknown,not_app,claimed the effect size came from pilot data and also was an arbitray moderate effect
2116,Banks 2020,unknown  ,.05_tails_not_reported,90,pn2,0.08,gpower,no,default,yes,"repeated measures anova-within factors, 1 group, 3 time points, .5 correlation, default eta-squared",yes,"Therefore, and based on previous findings related to the distance effect, we hypothesized that a distal external focus would result in the fastest sprint times",unknown,unknown,gpower,"eta_sqared as in spss resulted in N = 76, default in N = 26"
2108,Singh 2020,mixed_anova,.05_tails_not_reported,85,pn2,0.08,gpower,no,default,yes,"2 groups, 2 measures, correlation .5, default eta-squared",yes,"We hypothesized that high-skilled performers would show greater movement accuracy when asked to adopt a distal focus. In contrast, we expected low-skilled performers to demonstrate greater accuracy with a proximal focus. Participants were also asked what their preferred focus was. Similar to performance, we expected low-skilled players to prefer a proximal focus and high-skilled players to prefer a distal focus.",yes,yes,gpower,"default eta_squared N = 28, eta_sqauared in spss resulted in N = 108 for the ws effect. "
2104,Marcori 2020,two_dependent,.05_tails_not_reported,80,d,0.6,gpower,no,notapp,yes,one_tailed_alpha,yes,"In agreement with this theorization, we hypothesized higher movement linearity of the right foot in the aiming task (H1), and higher balance stability when supported on the left foot (H2) in comparison with performance of the contralateral foot.",yes,no,gpower,tails never reported
2101,Annand 2020,mixed_anova,.05_tails_not_reported,80,n2,0.22,gpower,no,notapp,no,not_app,yes,"We hypothesized that dyads would, at least initially, perform better than individuals because the relatively weaker coupling of interpersonal coordination would result in less bias toward the intrinsically stable coordination patterns. Thus, the same feature that led us to hypothesize
initially worse performance in individuals—greater coupling strength giving rise to stronger intrinsic coordination dynamics—could,
over the course of learning, be harnessed to achieve more rapid stabilization (and hence better performance) of the new ? = 90?
coordination pattern",match_one,no,not_app,"assuming F = .21, 2 groups, 2 meausres, within-between interaction, sample size of 48 was the result"
2087,Simpson 2020,ws_anova,.05_tails_not_reported,90,pn2,0.25,gpower,no,default,yes,"1 group, four_conditions, default eta-squared, correlation .5",yes,"First, we hypothesised that the EF, EE-EF and AS-EF conditions would enhance jump performance as compared to baseline. Second, we
hypothesised that each condition would increase participants' self-efficacy, perceived competence, task effort, task importance and
positive affect. we hypothesised that standing
long jump performance and the motivational characteristics would be enhanced in the EE-EF and AS-EF conditions as compared to
the EF condition.",no,yes,gpower,"default eta_squared N = 7, SPSS eta-squared N = 17"
2071,Smeeton 2020,unknown  ,unknown,95.3,unknown,not_app,gpower,no,notapp,no,not_app,not_app,"We predicted that presenting information
from the throwing arm only would be sufficient for participants to anticipate above chance levels (25% accuracy) in perceptually
skilled and perceptually less-skilled participants.",unknown,unknown,not_app,power for actual design could not be calculated with G*Power
2067,Carnegie 2020,unknown  ,.05_tails_not_reported,80,pn2,0.31,gpower,no,default,yes,"repeated measures anova, between subjects factor, 2 groups, 3 measures, default eta-squared, .5 correlation",no,"Hypothesis 1: skilled golfers (LHG) would display a significantly greater level of performance accuracy on each of the three putt conditions. Hypothesis 2: LHG would display fewer fixations of longer duration (as per Vickers, 1996b; Lee et al., 2009; CañalBruland et al., 2011; Piras et al., 2014; Campbell & Moran, 2014), most notably on putting conditions of increased complexity. Hypothesis 3: LHG would display significantly different patterns of gaze behaviour (areas of interest viewed) compared to novice performers across the varying putting conditions (Campbell & Moran, 2014; Vickers, 1992). Hypothesis 4: more difficult putts [Left to Right (LR) and Right to Left (RL)] would require more cognitive effort as evidenced through changes in pupil diameter during both the QE period and throughout skill execution (Alnæs et al., 2014; Moran et al., 2016). Hypothesis 5: LHG would have significantly longer QE duration on each putt condition",unknown,unknown,gpower,"default eta-squared = 14, as in spss = 22."
2063,Belur 2020,manova,.05_tails_not_reported,80,unknown,0.825,gpower,no,notapp,no,not_app,not_app,"We hypothesized older adults would show greater DTCs compared to younger adults for the gait parameters, and the degree of decrement would be greater during texting compared to the verbal tasks. We also predicted backward walking would negatively impact both age groups due to less familiarity and reduced visual information, thus resulting in greater DTCs in backward walking than forward walking",no,yes,not_app,
2062,Buddhadev 2020,unknown  ,.05_tails_not_reported,80,d,0.87,gpower,no,notapp,no,not_app,not_app,"We hypothesized that: 1) older adults rely less on distal and more on proximal moments (i.e., lower ankle and higher knee and hip moments) compared to young adults; 2) a distal-to-proximal redistribution of joint moments of older adults is greater than that shown by young adults at faster speeds; and 3) a distal-to-proximal redistribution of joint moments of older adults also is exaggerated at longer step lengths compared to young adults.",unknown,unknown,not_app,"actual design was 2X3X3 mixed anova, power can't be calculated with g*power; looks like they calculated power for a dependent t-test with their reported effect size, got 16 for the sample size, and then used that as the per-group sample size for a between subjects comparison."
2048,Karagiannakis 2020,unknown  ,.05_tails_not_reported,80,pn2,0.06,gpower,no,default,yes,"repeated measures anova within factors, default eta-squared, .5 correlation, 1 group, four measurements",yes,"The aim, therefore, of this study was to evaluate the neuromuscular control of the ankle joint during reaching in all SEBT's directions, by recording the activity of the extrinsic foot and ankle stabilizers and by quantifying the accompanied postural stability, by means of the CoP displacement and the plantar pressure distribution.",unknown,unknown,gpower,"actual design was factorial repeated measures anova and g*power cannot be used; default eta-squared = 23, as in spss = 60"
2043,Magnani 2019,unknown  ,.05_tails_not_reported,90,pn2,not_app,gpower,no,not_reproducible,no,not_app,not_app,"Given this scenario, the objective of the present study was to compare gait parameters with usual and fast speeds for independent and autonomous older adults throughout the aging process (60 to 102 years old), and also to identify which of the gait variables are best for identifying differences across the different age groups.",unknown,unknown,not_app,effect size from pilot study but not reported
2041,MÃ¼ÃŸig 2019,unknown  ,.05_tails_not_reported,80,d,1,gpower,no,notapp,yes,"independent_t, one-tailed, d = 1",yes,"We hypothesized that kinematic variability during walking is increased in amputees using a prosthetic knee joint system compared to healthy controls,",unknown,unknown,gpower,"if the conditionally reproducible analysis was the same as what the authors ran, it did not match the design or hypotheses in their study"
2036,Harry 2019,mixed_anova,.05_tails_not_reported,80,f,0.3,gpower,yes,notapp,not_app,not_app,yes,"Based on the literature reviewed, we tested the following hypotheses: 1) greater peak vertical GRF magnitudes would occur when using an internal versus external focus regardless of sex, 2) different organizations of joint contributions to lower-extremity energy absorption would occur between internal and external foci regardless of sex, 3) females would exhibit greater peak vertical GRF magnitudes than males regardless of the focus adopted, and 4) lesser knee and greater ankle joint contributions to total lower limb work would be observed in females versus males regardless of the focus adopted",match_one,yes,gpower,anova repeated measure within-subjects comparisons. Underpowered for between subjects
2035,Koh 2019,multiple_regression,.05_tails_not_reported,80,unknown,0.35,gpower,no,notapp,no,not_app,not_app,Research hypothesis are that the relationships between arm swing asymmetry and asymmetries in upper limb kinematics and temporospatial parameters are different between early PD and controls,yes,yes,not_app,stepwise regression
2024,Zhang 2019,unknown  ,.05_tails_not_reported,80,unknown,not_app,gpower,no,notapp,no,not_app,not_app,"Concerning the effects of leg dominance on proprioception we expected that proprioception tends to be worse in dominant as compared to non-dominant leg and below-knee CG improves proprioception. Along these lines, we hypothesized that CG has a preferential effect on proprioception so that the leg with poorer proprioception, i.e., dominant vs. non-dominant, would benefit most from wearing the garment",unknown,unknown,not_app,g*power not appropriate for a mixed 2 X 3 design  
2023,Khuu 2019,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"We hypothesized that there would be both kinematic and kinetic differences between females and males for the 3 SLS tasks, and that these differences would be affected by the position of the non-stance leg",unknown,unknown,not_app,g*power not appropriate for a mixed 2 X 3 design  
2022,GÃ¼ldenpenning 2019,mixed_anova,.05_tails_not_reported,95,f,0.25,gpower,no,notapp,yes,"three groups, two measures",yes,"In line with the theory of ironic processes of mental control (Wegner, 1994, 2009), we predicted that the head-fake effect would be more pronounced in the ironic instruction groups.",yes,yes,gpower,"only one possible design and it matched power analysis, so close to reproducible w info provided"
2019,Nunes 2019,multiple_regression,.05_tails_not_reported,95,unknown,0.5,gpower,no,notapp,yes,"effect size = f-squared, deviation from zero",yes,"Therefore, the present study aimed to assess whether there is a relationship between Achilles tendon morphology, gastrocnemius muscle architecture and ankle plantar flexors function (strength, flexibility and endurance) in ballet dancers.",yes,yes,gpower,
2018,Denis 2019,unknown  ,.05_tails_not_reported,80,d,0.6,not_reported,no,notapp,yes,"dependent t-test, one-tailed alpha",yes,"We hypothesized that active tDCS stimulation over the right dlPFC would result in better cognitive inhibition performance, and in turn, lead to better endurance performance compared to a sham tDCS condition. The Eriksen flanker task was implemented during the physical task to measure inhibition performance (Eriksen & Eriksen, 1974). We therefore expected to observe a mediation effect of HD-tDCS on endurance times by the executive function of inhibition. This mediation would experimentally specify the role of CPF in the maintenance of physical effort through an inhibitory control over painful physical sensations.",unknown,unknown,gpower,"design did not match design used in conditional reproduction, nor did hypotheses"
2010,Leite 2019,mixed_anova,.05_tails_not_reported,80,f,0.25,gpower,no,notapp,no,not_app,no,"To our knowledge, a possible interaction between EIMD and motor learning has yet to be investigated. Investigating this interaction can help to understand the factors underlying motor learning and also provide useful knowledge to sports training and rehabilitation professionals. Therefore, the purpose of the present study was to evaluate whether a session of exercise that induces muscle damage impairs subsequent motor skill learning",unknown,unknown,not_app,"two groups, three time points, actual sample size was 2 more than power analysis.  they also used g*power to calculate effect sizes from partial eta squared. Don't report pn2 so can't evaluate settings"
2002,Jafarnezhadgero 2020,unknown  ,.05_tails_not_reported,80,unknown,0.8,gpower,no,notapp,no,not_app,not_app,"We hypothesized that long-term use of arch support FOs would modify the lower limb inter-joint coordination towards in-phase patterns (especially the ankle inversion/eversion and knee internal/external rotation joint coupling angle) (Noghondar & Yazdi, 2017). We also hypothesized that FOs would not affect lower limb inter-joint coordination variability, which is consistent with a previous research suggesting that insoles have no impact on inter-joint coordination variability of the lower extremity (Noghondar & Yazdi, 2017).",unknown,unknown,not_app,"paired t-test resulted in n = 15, might have doubled that for 2 groups"
1998,Harput 2020,two_dependent,unknown,90,unknown,1.12,gpower,no,notapp,yes,"dependent t-test, two-tailed alpha, effect size d",yes,"Therefore, the aim of current study was to investigate vastus medialis obliquus (VMO), vastus lateralis (VL) and RF muscle activation levels during eccentric, isometric and concentric phases of single leg raise (SLR), single leg wall squat (SLWS) and forward lunge (FL) exercises with and without AE. It was hypothesized that there would be greater VMO, RF and VL muscle activation with AE during all phases of the exercises.",no,no,gpower,"design was ws-factorial anova, cannot use g*power for this design"
1996,Uiga 2020,mixed_anova,.05_tails_not_reported,95,pn2,0.06,gpower,no,default,yes,"6 groups, 2 measures, within between interaction, default eta-squared",no,"Verbalization was expected to affect performance of quiet standing balance (a well-practiced motor skill), because procedural knowledge underlying balancing tremendously exceeds declarative, verbal knowledge about the skill. We hypothesized, however, that low reinvestors would show greater decrements in balance performance following the intervention than high reinvestors, because low reinvestors are less accustomed to conscious verbal processing of their movements (i.e., relying more on procedural knowledge than high reinvestors, who tend to rely on both procedural and declarative knowledge). As the verbalization intervention provides an opportunity to access or create declarative knowledge about balancing, we expected to see similar trends among both young and older adults.",yes,no,gpower,default eta-square results in N = 84. As in SPSS N = 324. study design was 2 x 2 x 2 x2(within) but power was for 6 X 2 design. G*power does not handle such complication designs. 
1992,Sant'AnnadoCarmoAprigio 2020,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"Therefore, this study investigates whether the acute fatigability of lower limb muscles affects the movement strategies for controlling postural stability during upright standing by analyzing the spatial patterns of COP position in 3D-SKG. It is hypothesized that body sway increases with muscle fatigability, but movement strategies remain the same, marked by a larger COP area and velocity but similar spatial patterns of 3D-SKG.",unknown,unknown,not_app,
1990,Amaral-Felipe 2020,unknown  ,.05_tails_not_reported,95,unknown,1.57,gpower,no,notapp,no,not_app,not_app,"Based on the above and considering the neurodegenerative process that produces changes in the physical performance of older adults with PD (Brodie et al., 2014; Hausdorff, 2009), kinematic assessment can allow us to verify if older adults with PD display worse street crossing performance than older adults without the disease. This can provide information about how PD interferes in the performance of outdoor tasks as well as a basis for formulating strategies to reduce the risk of road traffic accidents. Therefore, this study aimed to assess gait kinematic adaptation under different simulated street crossing conditions in older adults with PD, and to compare their performance with older adults without PD.",unknown,unknown,not_app,"assuming independent t-test and 1-tailed alpha results in N = 20, which may have been interpreted as per goup"
1987,Yamada 2020,unknown  ,unknown,95,unknown,1.85,gpower,no,notapp,no,not_app,not_app,"We hypothesized that individuals with PD would present greater spatiotemporal changes, such as a reduction of step length, gait speed, and swing time, and an increase in cadence, support time, double support time, and step width in comparison to individuals without PD, and that such changes are more evident during walking while performing tasks of the daily life.",unknown,unknown,not_app,
1984,Mahdieh 2020,unknown  ,.05_tails_not_reported,75,unknown,0.69,not_reported,no,notapp,no,not_app,not_app,"As the DNS exercises merely involve practicing fundamental movements, the question is whether they can also help to improve basic and specific functional movements. To provide an answer, the current study examined five functional tests before and after a DNS program in order to identify the degree to which DNS exercises affect them.",unknown,unknown,not_app,"assuming rm anova, between factors, f = .69, 2 groups and 2 measurements, total sample size  = 14. Authors may have applied that number to each group"
1960,Simpson 2019,unknown  ,.05_tails_not_reported,80,unknown,0.5,gpower,no,notapp,no,not_app,not_app,"The purpose of this investigation was to analyze ankle joint and impact kinetics during unanticipated and anticipated landings onto an inverted surface utilizing a new experimental protocol that has been shown to approximate the mechanism of a lateral ankle sprain during a single-leg drop landing (Simpson et al., 2018). While altered neuromuscular control and lower extremity kinematics have been observed during anticipated inversion perturbations (Dicus & Seegmiller, 2012; Gehring et al., 2014; Simpson et al., 2018, 2019), we hypothesized ankle joint and impact kinetics would be significantly greater during the unanticipated landing on the laterally inclined surface compared to the anticipated landing.",unknown,unknown,not_app,
1954,Li 2019,unknown  ,unknown,,pn2,0.5,not_reported,no,not_reproducible,no,not_app,not_app,The hypothesis was that incremental increases in backpack load generate quantitatively larger magnitudes and qualitatively comparable profiles of lumbosacral joint compression force during a walking exercise. ? unclear if actual power analysis was conducted,unknown,unknown,not_app,unclear if actual power analysis was conducted
1943,DenizogluKulli 2019,unknown  ,.05_tails_not_reported,80,unknown,0.97,gpower,no,notapp,yes,"independent t-test, effect size = d, two-tails",yes,"The unilateral exercise training is extensively used to prevent muscle weakness in injured extremity, increase mobility and strength in the early rehabilitation of sports and orthopedic injuries and in the treatment programs of the neurological diseases such as stroke (Papandreou, Billis, Papathanasiou, Spyropoulos, & Papaioannou, 2013; Urbin, Harris-Love, Carter, & Lang, 2015). Therefore, enhancing the effect of force irradiation on the contralateral muscle activity may enable important clinical outcomes. In this respect, we aimed to determine the effects of KT on the contralateral muscle activity during unilateral contractions.",unknown,unknown,gpower,g*power does not have the The Kruskal-Wallis test
1925,FÃ¡brica 2019,unknown  ,.05_tails_not_reported,80,unknown,0.4,not_reported,no,notapp,no,not_app,not_app,We hypothesized that the Rint values of each phase are likely to deteriorate in stroke subjects in correspondence with spatiotemporal changes and consider that such an approach can lay the basis for a complete functional evaluation of the locomotion of stroke patients.,unknown,unknown,not_app,"assuming the power analysis was an independent t-test, in line with the design, and the effect size was d, the actual sample size from a power analysis is 200, the authors reported 24"
1904,Duda 2019,unknown  ,.05_tails_not_reported,80,r,0.26,gpower,no,notapp,no,not_app,not_app,"Based on previous research, a significant group by practice interaction was predicted in which children and adolescents with ADHD would demonstrate reduced ability to automatize a newly learned grapheme relative to their peers without ADHD despite equivalent practice.",unknown,unknown,not_app,
1886,Simpson 2019,mixed_anova,.05_tails_not_reported,80,unknown,0.5,gpower,no,notapp,yes,"rm anova, between subjects, 2 groups, 2 time points, effect size f, .5 correlation between measure",yes,It was hypothesized the CAI group would demonstrate reduced neuromuscular control and altered ankle kinematics compared to healthy controls during unexpected and expected single leg drop-landings on the tilted surface.,yes,yes,gpower,
1867,Daou 2019,multiple_regression,.05_tails_not_reported,80,f2,0.15,gpower,yes,notapp,not_app,not_app,yes,We predicted an expectation by motor preparation interaction revealing that the benefit of expecting to teach on posttest accuracy and precision would be exclusive to those participants who also practiced with unlimited motor preparation.,yes,yes,gpower,power analysis returned N = 77 but with 4 groups this needed rounding up to 80
1865,Howe 2019,other,.05_tails_not_reported,80,r,0.411,not_reported,no,notapp,yes,"point biserial correlation, one-tailed alpha",yes,"We hypothesized that reduced ankle DF ROM would correlate with greater peak vGRF caused by reduced ankle dorsiflexion and knee flexion being available for energy absorption. Furthermore, limitations in ankle DF ROM would cause compensations in coordination strategies at other time points (i.e. initial contact) and separate joint segments (i.e. the hip). Additionally, we hypothesized that landings from higher drop heights would strengthen the relationship between ankle DF ROM and the compensatory strategies in coordination patterns.",match_one,yes,gpower,"analysis was a pearson bivariate correlation, not point biserial"
1864,Aloraini 2019,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"sed on previous studies, we hypothesized that when adopting an external focus of attention participants would show earlier APAs onset and more efficient (lower) APAs magnitude. Further, we anticipate that when adopting an external focus of attention the improvement in APAs is accompanied with improved performance in behavioral and kinematic measures. This improved performance is seen as shorter MT, higher PV, shorter ttPV and more accurate target endpoint (SDT).",unknown,unknown,not_app,
1861,Walter 2019,unknown  ,unknown,96.7,unknown,0.81,gpower,no,notapp,yes,"anova:repeated measures, within factors, effect size f, 2 groups, 2 measures, corr = 0.5, nonesphericity = 1",yes,"On one day (which happened to be the second day of testing), the relative magnitude of pitch and roll closely resembled Walter et al. (2017); that is, the more typical conditions in which roll > pitch. On this day, we expected to replicate the direction-specific effects that were reported by Walter et al. That is, we expected that participants would judge that they could walk farther along the athwart path than along the fore-aft path, and that judgments would accurately reflect actual performance. On the other day (which happened to be the first day of testing), the relative magnitudes of pitch and roll were reversed, such that pitch > roll. Under this condition, we predicted that participants would judge that they could walk further along the fore-aft path than on the athwart path, and that judgments would accurately reflect actual performance. Under both patterns of ship motion (i.e., roll > pitch, and pitch > roll), we predicted that mean judgments of walking ability would differ across walking directions (i.e., walking fore-aft vs. walking athwartship). Our central prediction was that the nature of this difference would itself differ across ship motion conditions, such that the Ship Motion × Walking Direction interaction would be statistically significant. With respect to the accuracy of judgments, our prediction was that any changes in judgment accuracy would be independent of our predicted effects in mean judgments, and independent of any changes in the overall magnitude of ship motion.",unknown,unknown,gpower,
1858,Barbieri 2019,unknown  ,.05_tails_not_reported,95,unknown,0.2,gpower,no,notapp,no,not_app,not_app,"We hypothesized that people with PD would have more postural control asymmetries than the control group. Based on prior associations found between postural asymmetry and falls (Beretta et al., 2018), we also expected that PD fallers would have greater postural asymmetry than PD non-fallers.",unknown,unknown,not_app,
1852,Harry 2019,unknown  ,.05_tails_not_reported,80,unknown,1,gpower,no,notapp,no,not_app,not_app,"The following hypotheses were tested: 1) WV use would not alter peak vertical GRF and joint work characteristics in men and women due to a corresponding decrease in jump-landing height, and 2) lesser vertical GRF but increased joint work would be exhibited by women in comparison to men during VJL with and without a WV.",unknown,unknown,not_app,
1850,Nascimento 2019,unknown  ,.05_tails_not_reported,80,unknown,not_app,not_reported,no,notapp,no,not_app,not_app,"We hypothesized that trained infants would perform higher number of reaches, proximal adjustments, functional distal adjustments (more reaches with semi-open or open hand) and reaches with grasping than untrained infants. In addition, we expected that these improvements would not be retained 4 min later, thus demonstrating the need of continued practice for more lasting motor adaptations. This study explores relevant information on the role of incremental experience on behavioral changes in preterm infants and can be an important contribution for clinicians who are interested in preventing or minimizing delays in manual behavior in this population.",unknown,unknown,not_app,
1845,daCosta 2019,unknown  ,.05_tails_not_reported,80,r,0.8,not_reported,no,notapp,no,not_app,not_app,"According to Ulrich, Ulrich, Angulo-Kinzler, and Chapman (1997), the adaptability to changes in environmental contexts depends on: (1) the experience level of the subject; (2) the biomechanical characteristics of the task; and (3) the organization of these components, which should be sensitive to available information. Therefore, our initial hypothesis was that increased sensory threats, such as removing visual information and changing the compliance of the support surface, would affect CoP trajectories by increasing the area of CoP sway and the regularity of CoP trajectories, and decreasing the complexity of postural control, indicating rigidity and predictability of the system. Considering their neuromotor impairments (Woollacott & Shumway-Cook, 2005), we believe these changes will be more pronounced in children with CP.",unknown,unknown,not_app,
1829,Bacelar 2020,mixed_anova,.05_tails_not_reported,80,pn2,0.09,gpower,yes,spss,not_app,not_app,no,Do rewards and/or punishments enhance the ability to choose the appropriate target for one’s movement and/or execution of that movement?,yes,yes,gpower,"preregistered power analysis reproducible, power analysis in article included additional within-subjects measurement and therefore returned fewer required participants. If g*power was used in power analysis it does not handle the design"
1818,Abdollahipour 2020,mixed_anova,.05_tails_not_reported,90,pn2,0.06,gpower,no,default,yes,"default pn2, 2 groups, 3 measurements, nonesphericity = 1",no,"We hypothesized that bowling performance would be enhanced (i.e., greater number of pins knocked down) in the optimized relative to the control group, irrespective of the order in which the three factors were implemented. We also wanted to examine potential incremental effects of the
three variables, as seen in the study by Chua et al. (2018).",no,yes,gpower,"default eta-squared = 36 for within effects, as in spss = 104"
